Code UAI de l’établissement accrédité,Nom officiel (long) de l’établissement accrédité,Adresse de l’établissement accrédité,Code postal de la ville de l’établissement accrédité,Ville de l’établissement accrédité,Identifiant navette de la mention (INM) de master,Domaine(s) de la mention de master,Intitulé de la mention de master,Mention accréditée ou en cours d’accréditation,Modalités d’enseignement de la mention,Semestre auquel la mention est accessible dans l’établissement accrédité,Licences conseillées pour suivre la formation de la mention,etablissement_id_paysage
0870669E,Université de Limoges,33  RUE FRANCOIS MITTERAND,87032,LIMOGES CEDEX 1,1302622U,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,"Formation initiale,Formation continue",1er semestre,,nkbwh
0761904G,Université de Rouen,1  RUE THOMAS BECKET,76821,MONT ST AIGNAN CEDEX,1703285X,"ARTS, LETTRES, LANGUES",Lettres,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,"Lettres,Philosophie,Histoire,Arts du spectacle,Humanités",G4572
0440984F,Université de Nantes,1  QUAI DE TOURVILLE,44036,NANTES CEDEX 2,1703164R,"ARTS, LETTRES, LANGUES|SCIENCES HUMAINES ET SOCIALES","Civilisations, cultures et sociétés",diplôme,"Formation initiale,Formation continue",1er semestre,,qUCQp
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1402620M,"DROIT, ECONOMIE, GESTION",Science politique,diplôme,"Formation initiale,Formation continue",1er semestre,,g6rwB
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1601500L,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,diplôme,"Formation initiale,Formation continue",1er semestre,,90I54
0632035V,Université Clermont Auvergne,49 boulevard François Mitterrand,63001,CLERMONT FERRAND CEDEX 1,1702186C,"DROIT, ECONOMIE, GESTION",Economie du développement,dossier,"Formation initiale,Formation continue",1er semestre,,K4lR3
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1602777Z,"SCIENCES, TECHNOLOGIES, SANTÉ",Mécanique,diplôme,"Formation initiale,Formation continue",1er semestre,,90I54
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE CEDEX 07,1800853C,SCIENCES HUMAINES ET SOCIALES,Philosophie,diplôme,"Formation initiale,Formation continue,Formation à distance,Alternance",1er semestre,,xJdyB
0311383K,Université Toulouse-II,5 allées Antonio Machado,31058,TOULOUSE CEDEX 9,1601315K,SCIENCES HUMAINES ET SOCIALES,Tourisme,dossier,"Formation initiale,Formation continue",1er semestre,,HqAYu
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1603218D,"SCIENCES, TECHNOLOGIES, SANTÉ",Informatique,diplôme,"Formation initiale,Formation continue",1er semestre,,90I54
0311382J,Université Toulouse-I,2  RUE DU DOYEN GABRIEL MARTY,31042,TOULOUSE CEDEX 9,1601796H,"DROIT, ECONOMIE, GESTION","Marketing, vente",dossier,"Formation initiale,Formation continue,Alternance",1er semestre,,542Id
0931238R,Université Paris-XIII,AVENUE JEAN BAPTISTE CLEMENT,93430,VILLETANEUSE,1406214E,"SCIENCES, TECHNOLOGIES, SANTÉ",Santé publique,diplôme,"Formation initiale,Formation continue",1er semestre,,cqyN7
0133774G,Ecole centrale de Marseille,38 RUE JOLIOT CURIE,13451,MARSEILLE CEDEX 13,1800865R,"SCIENCES, TECHNOLOGIES, SANTÉ",Informatique,diplôme,Formation initiale,3ème semestre,,1tI7C
0251215K,Université de Besançon,1 RUE GOUDIMEL,25030,BESANCON CEDEX,1701451D,"SCIENCES, TECHNOLOGIES, SANTÉ","Biodiversité, écologie et évolution",diplôme,"Formation initiale,Formation continue",1er semestre,Sciences de la vie,7Mpgt
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST CEDEX 2,1703005T,"DROIT, ECONOMIE, GESTION",Management des systèmes d'information,diplôme,,,,06SE7
0311381H,Institut national polytechnique de Toulouse,6  ALLÉE EMILE MONSO,31029,TOULOUSE CEDEX 4,2100119E,"SCIENCES, TECHNOLOGIES, SANTÉ",Nanosciences et nanotechnologies,dossier,"Formation initiale,Formation continue",3ème semestre,,mMex4
0312760G,Institut supérieur de l'aéronautique et de l'espace (ISAE),10  AVENUE EDOUARD BELIN,31055,TOULOUSE CEDEX 4,1601717X,"SCIENCES, TECHNOLOGIES, SANTÉ",Mathématiques et applications,dossier,Formation initiale,,,2Nnrv
0312760G,Institut supérieur de l'aéronautique et de l'espace (ISAE),10  AVENUE EDOUARD BELIN,31055,TOULOUSE CEDEX 4,1603025U,"SCIENCES, TECHNOLOGIES, SANTÉ","Énergétique, thermique",diplôme,Formation initiale,,,2Nnrv
0342222F,Institut national d'études supérieures agronomiques de Montpellier (Montpellier Sup Agro),2 place Pierre Vala,34060,MONTPELLIER CEDEX 2,1501316R,"SCIENCES, TECHNOLOGIES, SANTÉ","Biodiversité, écologie et évolution",dossier,"Formation initiale,Formation continue",3ème semestre,,MihlE
0350937D,Université Rennes-II,PLACE DU RECTEUR LE MOAL,35043,RENNES CEDEX,1701146X,SCIENCES HUMAINES ET SOCIALES,Sciences du langage,diplôme,"Formation initiale,Formation continue",1er semestre,,ti37C
0350937D,Université Rennes-II,PLACE DU RECTEUR LE MOAL,35043,RENNES CEDEX,1702293U,"DROIT, ECONOMIE, GESTION",Management et commerce international,diplôme,"Formation initiale,Formation continue",3ème semestre,,ti37C
0352692L,"Institut national supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage, Agrocampus Ouest",65 RUE DE ST BRIEUC,35042,RENNES CEDEX,1701559W,SCIENCES DE LA MER ET DU LITTORAL,Biologie,diplôme,"Formation initiale,Formation continue",3ème semestre,,MihlE
0381912X,Institut polytechnique de Grenoble,46 avenue Félix Viallet,38001,GRENOBLE CEDEX 1,1603197F,"DROIT, ECONOMIE, GESTION",Management public,dossier,"Formation initiale,Formation continue",3ème semestre,,2ALYK
