Code UAI de l’établissement accrédité,Nom officiel (long) de l’établissement accrédité,Adresse de l’établissement accrédité,Code postal de la ville de l’établissement accrédité,Ville de l’établissement accrédité,Identifiant navette de la mention (INM) de master,Domaine(s) de la mention de master,Intitulé de la mention de master,Mention accréditée ou en cours d’accréditation,Modalités d’enseignement de la mention,Semestre auquel la mention est accessible dans l’établissement accrédité,Licences conseillées pour suivre la formation de la mention,etablissement_id_paysage
0312760G,Institut supérieur de l'aéronautique et de l'espace (ISAE),10  AVENUE EDOUARD BELIN,31055,TOULOUSE CEDEX 4,1601224L,"SCIENCES, TECHNOLOGIES, SANTÉ",Réseaux et télécommunication,dossier,Formation initiale,,,2Nnrv
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE CEDEX 07,1800858H,SCIENCES ET TECHNOLOGIES | SCIENCES DE LA SANTE,Biologie-santé,diplôme,"Formation initiale,Formation continue",1er semestre,"Sciences de la vie,Sciences de la vie et de la Terre,Sciences pour la santé",xJdyB
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE CEDEX 07,1800859J,"DROIT, ECONOMIE, GESTION",Économie,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,"Economie,Informatique,Mathématiques,Physique,Economie et gestion,Mathématiques et informatique appliquées aux sciences humaines et sociales",xJdyB
0860856N,Université de Poitiers,15  RUE DE L'HOTEL DIEU,86034,POITIERS CEDEX,1801145V,"ARTS, LETTRES, LANGUES","Arts, lettres et civilisations",diplôme,"Formation initiale,Formation continue",1er semestre,,hlX1r
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,1502065E,SCIENCES HUMAINES ET SOCIALES,Sciences et techniques des activités physiques et sportives - STAPS,diplôme,"Formation initiale,Formation continue",1er semestre,,G2qA7
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1401697J,"DROIT, ECONOMIE, GESTION",Management,diplôme,"Formation initiale,Formation continue",1er semestre,,g6rwB
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1402156H,SCIENCES HUMAINES ET SOCIALES,Sociologie,diplôme,"Formation initiale,Formation continue",1er semestre,,g6rwB
0941111X,Université Paris-XII,61 avenue du Général de Gaulle,94010,CRETEIL CEDEX,1501902C,"DROIT, ECONOMIE, GESTION","Gestion de production, logistique, achats",diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,vb71K
0951793H,CY Cergy Paris Université,33 boulevard DU PORT,95011,CERGY PONTOISE CEDEX,1502371M,SCIENCES HUMAINES ET SOCIALES,Journalisme,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,"Lettres,Histoire",RS4WF
0951793H,CY Cergy Paris Université,33 boulevard DU PORT,95011,CERGY PONTOISE CEDEX,1503225R,"SCIENCES, TECHNOLOGIES, SANTÉ",Physique,diplôme,"Formation initiale,Formation continue",1er semestre,"Physique,Physique, chimie",RS4WF
7200664J,Université de Corse,7 AVENUE J NICOLI,20250,CORTE,1800401M,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Management,diplôme,"Formation initiale,Alternance",1er semestre,"Economie,Gestion",NLCOF
9740478B,Université de La Réunion,15 avenue René Cassin,97744,ST DENIS CEDEX 9,1501005C,"CULTURES, TERRITOIRES ET SOCIÉTÉS PLURIELLES DANS L'OCÉAN INDIEN","Information, communication",diplôme,Formation initiale,1er semestre,Information-communication,cEt92
0692437Z,Université Lyon-III,1  RUE DE L'UNIVERSITE,69239,LYON CEDEX 02,1602882N,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,Formation initiale,1er semestre,,7Gzub
0751719L,Université Paris-III,"8, Avenue de Saint-Mandé",75012,PARIS,1900216K,SCIENCES HUMAINES ET SOCIALES,Études européennes et internationales,diplôme,"Formation initiale,Formation continue",1er semestre,,8k883
0352692L,"Institut national supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage, Agrocampus Ouest",65 RUE DE ST BRIEUC,35042,RENNES CEDEX,1503111S,"SCIENCES, TECHNOLOGIES, SANTÉ","Sciences et technologie de l'agriculture, de l'alimentation et de l'environnement",diplôme,Formation continue,3ème semestre,,MihlE
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1302113R,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,,3ème semestre,,cqkij
0383493R,Université Grenoble Alpes,621  AVENUE CENTRALE,38040,GRENOBLE CEDEX 9,1603004W,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Management et administration des entreprises,diplôme,Formation continue,1er semestre,,Y7ch7
0383493R,Université Grenoble Alpes,621  AVENUE CENTRALE,38040,GRENOBLE CEDEX 9,1603181N,"SCIENCES, TECHNOLOGIES, SANTÉ","Biodiversité, écologie et évolution",diplôme,"Formation initiale,Formation continue",1er semestre,,Y7ch7
0450855K,Université d'Orléans,"Château de la Source, avenue du Parc floral",45067,ORLEANS CEDEX 2,1800527Y,"DROIT, ECONOMIE, GESTION",Droit privé,diplôme,"Formation initiale,Formation continue",1er semestre,Droit,HCBvW
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,2000251Y,SCIENCES HUMAINES ET SOCIALES,Sciences et cultures du visuel,diplôme,"Formation initiale,Formation continue",1er semestre,"Arts,Information-communication,Sciences sociales",Szqy5
0673021V,Université de Strasbourg,4  RUE BLAISE PASCAL,67081,STRASBOURG CEDEX,1800748P,SCIENCES HUMAINES ET SOCIALES,"Information, communication",diplôme,"Formation initiale,Formation continue",3ème semestre,,4k25D
0751718K,Université Paris-II,12  PLACE DU PANTHEON,75231,PARIS CEDEX 05,0900968C,"DROIT, ECONOMIE, GESTION",Droit privé,diplôme,Formation initiale,1er semestre,,GBpkg
0761904G,Université de Rouen,1  RUE THOMAS BECKET,76821,MONT ST AIGNAN CEDEX,1702365X,SCIENCES HUMAINES ET SOCIALES,Sciences de l'éducation,diplôme,"Formation initiale,Formation continue",1er semestre,,G4572
0762762P,Université du Havre,25 RUE PHILIPPE LEBON,76063,LE HAVRE CEDEX,1703342J,"DROIT, ECONOMIE, GESTION",Droit de l'entreprise,diplôme,Formation initiale,1er semestre,,LsQ24
0450855K,Université d'Orléans,"Château de la Source, avenue du Parc floral",45067,ORLEANS CEDEX 2,1800508C,"DROIT, ECONOMIE, GESTION",Économie internationale,diplôme,"Formation initiale,Formation continue",1er semestre,"Economie,Mathématiques,Economie et gestion",HCBvW
0490970N,Université d'Angers,40  RUE DE RENNES,49035,ANGERS CEDEX 01,1701680C,"DROIT, ECONOMIE, GESTION",Gestion de patrimoine,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,"Droit,Economie,Gestion",IXHyv
0640251A,Université de Pau,AVENUE DE L UNIVERSITE,64012,PAU CEDEX,1603209U,"DROIT, ECONOMIE, GESTION",Droit notarial,diplôme,"Formation initiale,Formation continue",1er semestre,,Mz286
0673021V,Université de Strasbourg,4  RUE BLAISE PASCAL,67081,STRASBOURG CEDEX,1800683T,SCIENCES HUMAINES ET SOCIALES,"Épistémologie, histoire des sciences et des techniques",diplôme,"Formation initiale,Formation continue",1er semestre,,4k25D
0912403T,Institut Polytechnique de Paris,Route de Saclay,91128,PALAISEAU CEDEX,2000149N,"SCIENCES, TECHNOLOGIES, SANTÉ",Physique,diplôme,Formation initiale,1er semestre,,kYR50
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE CEDEX 07,1800861M,SCIENCES ET TECHNOLOGIES,Bio-informatique,diplôme,"Formation initiale,Formation continue",1er semestre,,xJdyB
0141408E,Université de Caen  Normandie,ESPLANADE DE LA PAIX,14032,CAEN CEDEX 5,1702755W,"DROIT, ECONOMIE, GESTION",Management,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,,p25Q3
0341089Z,Université Montpellier-III,ROUTE DE MENDE,34199,MONTPELLIER CEDEX 5,2100090Y,"DROIT, ECONOMIE, GESTION",Economie sociale et solidaire,dossier,"Formation initiale,Formation continue",1er semestre,,1I7hJ
0383493R,Université Grenoble Alpes,621 avenue Centrale,38400,ST MARTIN D HERES,1601049W,"ARTS, LETTRES, LANGUES",Journalisme,dossier,"Formation initiale,Formation continue",1er semestre,,Y7ch7
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,1502538U,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie physique et analytique,diplôme,"Formation initiale,Formation continue",1er semestre,"Chimie,Physique,Physique, chimie",U8a0v
0597132G,Université Polytechnique Hauts-de-France,,59300,AULNOY LEZ VALENCIENNES,2000055K,"DROIT, ECONOMIE, GESTION",Droit public,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,EW53M
0660437S,Université de Perpignan,52  AVENUE PAUL ALDUY,66860,PERPIGNAN CEDEX 9,1502925P,SCIENCES HUMAINES ET SOCIALES,Sociologie,dossier,Formation initiale,1er semestre,,n1W55
0720916E,Université du Mans,AVENUE OLIVIER MESSIAEN,72085,LE MANS CEDEX 9,1701292F,SCIENCES HUMAINES ET SOCIALES,Ville et environnements urbains,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,9xlel
0751718K,Université Paris-II,12  PLACE DU PANTHEON,75231,PARIS CEDEX 05,1900324C,"DROIT, ECONOMIE, GESTION",Droit des affaires franco-asiatiques,diplôme,Formation initiale,1er semestre,,TWBzp
0772894C,Université Gustave Eiffel,5  BOULEVARD DESCARTES,77454,MARNE LA VALLEE CEDEX 2,1501693A,"SCIENCES, TECHNOLOGIES, SANTÉ",Actuariat,diplôme,"Alternance,Apprentissage",1er semestre,"Informatique,Mathématiques,Mathématiques et informatique appliquées aux sciences humaines et sociales",3Z5e6
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1402745Y,"DROIT, ECONOMIE, GESTION","Economie de l'environnement, de l'énergie et des transports",diplôme,"Formation initiale,Formation continue",1er semestre,"Droit,Economie et gestion",g6rwB
0931238R,Université Paris-XIII,AVENUE JEAN BAPTISTE CLEMENT,93430,VILLETANEUSE,0900831D,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie des procédés et des bio-procédés,diplôme,Formation initiale,1er semestre,,cqyN7
0941111X,Université Paris-XII,61 avenue du Général de Gaulle,94010,CRETEIL CEDEX,1501947B,"DROIT, ECONOMIE, GESTION",Droit de l'immobilier,diplôme,"Formation initiale,Formation continue",1er semestre,,vb71K
7200664J,Université de Corse,7 AVENUE J NICOLI,20250,CORTE,1800401M,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Management,diplôme,"Formation initiale,Alternance",1er semestre,"Economie,Gestion",NLCOF
9740478B,Université de La Réunion,15 avenue René Cassin,97744,ST DENIS CEDEX 9,1501005C,"CULTURES, TERRITOIRES ET SOCIÉTÉS PLURIELLES DANS L'OCÉAN INDIEN","Information, communication",diplôme,Formation initiale,1er semestre,Information-communication,cEt92
0141408E,Université de Caen  Normandie,ESPLANADE DE LA PAIX,14032,CAEN CEDEX 5,1703201F,"DROIT, ECONOMIE, GESTION",Droit public,diplôme,"Formation initiale,Formation continue",1er semestre,,p25Q3
0681166Y,Université de Mulhouse,2  RUE DES FRERES LUMIERE,68093,MULHOUSE CEDEX 2,1801136K,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences de la vigne et du vin,diplôme,Formation initiale,1er semestre,,OJZ4a
0490970N,Université d'Angers,40  RUE DE RENNES,49035,ANGERS CEDEX 01,1701023N,"DROIT, ECONOMIE, GESTION",Droit des affaires,diplôme,"Formation initiale,Formation continue",1er semestre,,IXHyv
0753742K,Ecole des hautes études en sciences sociales,54 boulevard Raspail,75006,PARIS,1900183Z,SCIENCES HUMAINES ET SOCIALES,Études sur le genre,diplôme,Formation initiale,1er semestre,,y52D7
0730858L,Université de Chambéry,27 rue Marcoz,73011,CHAMBERY CEDEX,2100041V,"DROIT, ECONOMIE, GESTION|SCIENCES, TECHNOLOGIES, SANTÉ",Energie solaire,dossier,"Formation initiale,Formation continue",1er semestre,,zCa4j
0694123G,Ecole normale supérieure de Lyon,15  PARVIS RENE DESCARTES,69342,LYON CEDEX 07,1601916N,"SCIENCES, TECHNOLOGIES, SANTÉ",Informatique,diplôme,Formation initiale,1er semestre,,kWved
0141408E,Université de Caen  Normandie,ESPLANADE DE LA PAIX,14032,CAEN CEDEX 5,1703006U,SCIENCES HUMAINES ET SOCIALES,"Géographie, aménagement, environnement et développement",diplôme,"Formation initiale,Formation continue",1er semestre,,p25Q3
0211237F,Université de Dijon,Esplanade Erasme,21078,DIJON CEDEX,1701323P,"ARTS, LETTRES, LANGUES",Lettres,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,,Lr94O
0640251A,Université de Pau,AVENUE DE L UNIVERSITE,64012,PAU CEDEX,1601754M,"SCIENCES, TECHNOLOGIES, SANTÉ",Mathématiques et applications,diplôme,"Formation initiale,Formation continue",1er semestre,,Mz286
0691774D,Université Lyon-I,43 BOULEVARD DU 11 NOVEMBRE 1918,69622,VILLEURBANNE CEDEX,1601875U,Autre Domaine,Staps : activité physique adaptée et santé,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,etBz7
0730858L,Université de Chambéry,27 rue Marcoz,73011,CHAMBERY CEDEX,1603108J,"DROIT, ECONOMIE, GESTION",Droit public,dossier,"Formation initiale,Formation continue",1er semestre,,zCa4j
0730858L,Université de Chambéry,27 rue Marcoz,73011,CHAMBERY CEDEX,2100040U,"ARTS, LETTRES, LANGUES",Sciences du langage,dossier,Alternance,1er semestre,,zCa4j
0772894C,Université Gustave Eiffel,5  BOULEVARD DESCARTES,77454,MARNE LA VALLEE CEDEX 2,2000161A,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie Urbain,diplôme,"Formation initiale,Formation continue",1er semestre,"Sciences pour l'ingénieur,Géographie et aménagement",3Z5e6
0311384L,Université Toulouse-III,118 route de Narbonne,31062,TOULOUSE CEDEX 9,1601853V,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie civil,dossier,"Formation initiale,Formation continue",1er semestre,,m7K6T
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,2000182Y,"DROIT, ECONOMIE, GESTION",Droit pénal et sciences criminelles,diplôme,"Formation initiale,Formation continue",1er semestre,Droit,U8a0v
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,2000308K,"SCIENCES, TECHNOLOGIES, SANTÉ",STAPS : activité physique adaptée et santé,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,U8a0v
0597132G,Université Polytechnique Hauts-de-France,,59300,AULNOY LEZ VALENCIENNES,2000277B,"DROIT, ECONOMIE, GESTION",Comptabilité - contrôle - audit,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,EW53M
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON CEDEX 07,1601550R,SCIENCES HUMAINES ET SOCIALES,Mondes médiévaux,diplôme,"Formation initiale,Formation continue",1er semestre,,CUBKB
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON CEDEX 07,1602839S,"DROIT, ECONOMIE, GESTION",Analyse et politique économiques,diplôme,"Formation initiale,Formation continue",1er semestre,,CUBKB
0941111X,Université Paris-XII,61 avenue du Général de Gaulle,94010,CRETEIL CEDEX,2000038S,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie industriel,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,vb71K
9710585J,UNIVERSITE DES ANTILLES,Campus de Fouillole,97157,POINTE A PITRE CEDEX,1800974J,"ARTS, LETTRES, LANGUES",Études culturelles,diplôme,"Formation initiale,Formation à distance",1er semestre,"Lettres,Langues, littératures et civilisations étrangères et régionales,Lettres, langues",z3hdL
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES CEDEX,1702073E,"SCIENCES, TECHNOLOGIES, SANTÉ",Bio-informatique,diplôme,Formation initiale,1er semestre,,9wAap
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE CEDEX 07,1800833F,SCIENCES ET TECHNOLOGIES,"Électronique, énergie électrique, automatique",diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,"Sciences pour l'ingénieur,Electronique, énergie électrique, automatique",xJdyB
0311383K,Université Toulouse-II,5 allées Antonio Machado,31058,TOULOUSE CEDEX 9,1601499K,SCIENCES HUMAINES ET SOCIALES,"Géographie, aménagement, environnement et développement",dossier,"Formation initiale,Formation continue",1er semestre,,HqAYu
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES CEDEX,1702353J,"DROIT, ECONOMIE, GESTION",Science politique,diplôme,Formation initiale,1er semestre,,9wAap
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1601877W,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE|SCIENCES, TECHNOLOGIES, SANTÉ",Méthodes informatiques appliquées à la gestion des entreprises - MIAGE,diplôme,Formation initiale,1er semestre,,90I54
0632035V,Université Clermont Auvergne,49 boulevard François Mitterrand,63001,CLERMONT FERRAND CEDEX 1,1701446Y,SCIENCES HUMAINES ET SOCIALES,Gestion des territoires et développement local,dossier,"Formation initiale,Formation continue",1er semestre,,K4lR3
0141408E,Université de Caen  Normandie,ESPLANADE DE LA PAIX,14032,CAEN CEDEX 5,1703447Y,SCIENCES HUMAINES ET SOCIALES,Ergonomie,diplôme,Formation initiale,1er semestre,"Psychologie,Sciences et techniques des activités physiques et sportives",p25Q3
0211237F,Université de Dijon,Esplanade Erasme,21078,DIJON CEDEX,1701843E,"DROIT, ECONOMIE, GESTION",Finance,diplôme,"Formation initiale,Formation continue",1er semestre,,Lr94O
0251215K,Université de Besançon,1  RUE GOUDIMEL,25030,BESANCON CEDEX,1701064H,SCIENCES HUMAINES ET SOCIALES,"Géographie, aménagement, environnement et développement",diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,,7Mpgt
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST CEDEX 2,1701569G,"ARTS, LETTRES, LANGUES","Arts, lettres et civilisations",diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0330203S,Ecole nationale supérieure des sciences agronomiques de Bordeaux Aquitaine,1 COURS DU GL DE GAULLE,33175,GRADIGNAN CEDEX,1602875F,"SCIENCES, TECHNOLOGIES, SANTÉ","Biodiversité, écologie et évolution",diplôme,Formation initiale,3ème semestre,,lfdJH
0333298F,Université de Bordeaux,35  PLACE PEY BERLAND,33000,BORDEAUX,1602173T,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Science politique,diplôme,"Formation initiale,Formation continue",1er semestre,,90I54
0340133K,Institut agronomique méditerranéen de Montpellier (IAMM),3191  ROUTE DE MENDE,34093,MONTPELLIER CEDEX 5,1502768U,SCIENCES HUMAINES ET SOCIALES,Gestion des territoires et développement local,diplôme,Formation initiale,1er semestre,,sPqpb
0342321N,Université de Montpellier,163  RUE AUGUSTE BROUSSONET,34090,MONTPELLIER,1501164A,"DROIT, ECONOMIE, GESTION",Droit de l'économie,diplôme,"Formation initiale,Formation continue",1er semestre,,7yd5d
0350937D,Université Rennes-II,PLACE DU RECTEUR LE MOAL,35043,RENNES CEDEX,1701347R,"SCIENCES, TECHNOLOGIES, SANTÉ","Mathématiques appliquées, statistique",diplôme,"Formation initiale,Formation continue",1er semestre,,ti37C
0350937D,Université Rennes-II,PLACE DU RECTEUR LE MOAL,35043,RENNES CEDEX,1702288N,"ARTS, LETTRES, LANGUES",Lettres et humanités,diplôme,"Formation initiale,Formation continue",1er semestre,,ti37C
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1800400K,SCIENCES HUMAINES ET SOCIALES,Philosophie,diplôme,"Formation initiale,Formation continue",1er semestre,,cqkij
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1800443G,"SCIENCES, TECHNOLOGIES, SANTÉ | SCIENCES HUMAINES ET SOCIALES",Biologie-santé,diplôme,"Formation initiale,Formation continue",1er semestre,,cqkij
