"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation
Public,0720033V,Lycee Polyvalent Gabriel Touchard   Washington,Pays de la Loire,CPGE   TSI
Public,0720033V,Lycee Polyvalent Gabriel Touchard   Washington,Pays de la Loire,BTS   Services   Collaborateur juriste notarial
Public,0720033V,Lycee Polyvalent Gabriel Touchard   Washington,Pays de la Loire,BTS   Services   Gestion de la PME
Public,0720048L,Lycee polyvalent Raphaël Elize,Pays de la Loire,BTS   Services   Conseil et commercialisation de solutions techniques
Prive sous contrat d association,0721684P,Lycee Polyvalent Saint Charles Sainte Croix,Pays de la Loire,BTS   Services   Comptabilite et gestion
Prive sous contrat d association,0721684P,Lycee Polyvalent Saint Charles Sainte Croix,Pays de la Loire,BTS   Services   Services informatiques aux organisations
Public,0720896H,Lycee Militaire Prytanee National,Pays de la Loire,CPGE   MPSI
Public,0720916E,Le Mans Universite,Pays de la Loire,Licence   Portail Sciences de la Vie   Sciences de la Terre
Public,0720916E,Le Mans Universite,Pays de la Loire,Licence   Portail Geographie et amenagement
Public,0720916E,Le Mans Universite,Pays de la Loire,Licence   Portail Histoire
Public,0721493G,Lycee Marguerite Yourcenar,Pays de la Loire,BTS   Services   Comptabilite et gestion
Public,0730003G,Lycee Marlioz,Auvergne Rhone Alpes,BTS   Services   Collaborateur juriste notarial
Prive sous contrat d association,0730760E,Lycee Jeanne D Arc,Auvergne Rhone Alpes,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0730858L,Universite Savoie Mont Blanc   Chambery,Auvergne Rhone Alpes,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours LLCER Anglais"
Public,0730858L,Universite Savoie Mont Blanc   Chambery,Auvergne Rhone Alpes,Licence   Droit
Prive sous contrat d association,0731198F,Lycee du Bocage   Costa de Beauregard,Auvergne Rhone Alpes,"BTS   Agricole   Metiers du Vegetal : Alimentation, Ornement, Environnement"
Public,0731570K,Universite Savoie Mont Blanc   Bourget du Lac,Auvergne Rhone Alpes,Licence   Portail Mathematiques   (tronc commun MPC : Mathematiques Physiques Chimie)
Public,0731392S,Lycee du Granier,Auvergne Rhone Alpes,BTS   Services   Comptabilite et gestion
Public,0731487V,IUT de CHAMBERY,Auvergne Rhone Alpes,BUT   Science et genie des materiaux
Public,0731487V,IUT de CHAMBERY,Auvergne Rhone Alpes,"BUT   Packaging, emballage et conditionnement"
Public,0740003B,Lycee Berthollet,Auvergne Rhone Alpes,CPGE   PCSI
Public,0740005D,Lycee Gabriel Faure,Auvergne Rhone Alpes,BTS   Services   Services et prestations des secteurs sanitaire et social
Public,0740005D,Lycee Gabriel Faure,Auvergne Rhone Alpes,BTS   Services   Comptabilite et gestion
Public,0952260R,Universite de Cergy Pontoise   CY SUP,Ile de France,Licence   Sciences pour la sante   Licence acces sante premiere annee PCSTI    Acces Sante
Prive enseignement superieur,0100744E,Ecole Superieure de Design de Troyes,Grand Est,DSP   Assistant designer web
Public,3500005D,Lycee français Descartes,,CPGE   ECG
Public,3500005D,Lycee français Descartes,,CPGE   ECG
Prive sous contrat d association,0420996E,Lycee professionnel La Grand Grange,Auvergne Rhone Alpes,BTS   Production   Systemes constructifs bois et habitat
Public,0782075G,Unite de Formation et de Recherche de Sciences de l  Universite de Versailles Saint Quentin en Yvelines,Ile de France,Licence   Portail Mathematiques Informatique (MI)
Public,0782075G,Unite de Formation et de Recherche de Sciences de l  Universite de Versailles Saint Quentin en Yvelines,Ile de France,Licence   Portail Mathematiques Physique Chimie (MPC)
Public,0782075G,Unite de Formation et de Recherche de Sciences de l  Universite de Versailles Saint Quentin en Yvelines,Ile de France,Licence   Portail Mathematiques Physique Chimie (MPC)
Public,0781944P,Universite de Versailles   Saint Quentin en Yvelines,Ile de France,Licence   Sciences pour la sante   Reeducation Readaptation    Acces Sante
Public,7200664J,Universite de Corte,Corse,Licence   Lettres   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   Metiers des langues   Espagnol"
Prive enseignement superieur,0752139T,IPC Facultes Libres de Philosophie et de Psycholog,Ile de France,Double licence   Philosophie / Psychologie   Double licence Philosophie   Psychologie
Prive hors contrat,9730526J,PROJET PROFESSIONNEL PLUS,Guyane,D.E Psychomotricien
Public,0831354W,Lycee professionnel La Coudouliere,Provence Alpes Cote d Azur,FCIL   Vehicules nautiques motorises (Jet ski)
Prive sous contrat d association,0594895A,IFSI Santelys Formation,Hauts de France,D.E Infirmier   Reserve aux personnes en situation de handicap
Public,0601910A,Universite d Amiens   Antenne de Beauvais,Hauts de France,Licence   Humanites   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,Licence   Economie
Public,0211986V,Lycee Les Marcs D Or,Bourgogne Franche Comte,BTS   Production   Bâtiment
Public,0580779G,I.U.T de Dijon   Antenne de Nevers,Bourgogne Franche Comte,BUT   Informatique
Public,0211986V,Lycee Les Marcs D Or,Bourgogne Franche Comte,BTS   Production   Travaux publics
Public,0211986V,Lycee Les Marcs D Or,Bourgogne Franche Comte,BTS   Services   Conseil et commercialisation de solutions techniques
Public,0130234J,Ecole nationale superieure maritime (ENSM)   Centre de Marseille,Provence Alpes Cote d Azur,Formation d ingenieur Bac + 5   DEO1MM diplome d’eleve officier de 1ere classe de la marine marchande et DESMM diplome d’etudes superieures de la marine marchande
Public,0212015B,Lycee Simone WEIL,Bourgogne Franche Comte,BTS   Services   Economie sociale familiale
Public,0220013V,Lycee De La Fontaine Des Eaux,Bretagne,"BTS   Production   Fluide, energie, domotique   option B froid et conditionnement d air"
Public,0220013V,Lycee De La Fontaine Des Eaux,Bretagne,BTS   Services   Gestion de la PME
Public,0220023F,Lycee Felix Le Dantec,Bretagne,BTS   Production   Photonique : technologies et sciences de la lumiere
Public,0740006E,Lycee Louis Lachenal,Auvergne Rhone Alpes,BTS   Production   Systemes constructifs bois et habitat
Public,0220023F,Lycee Felix Le Dantec,Bretagne,BTS   Production   Electrotechnique
Public,0740006E,Lycee Louis Lachenal,Auvergne Rhone Alpes,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux"
Public,0801344B,Universite d Amiens,Hauts de France,"Double licence   Langues, litteratures et civilisations etrangeres et regionales / Droit   Anglais   Droit"
Public,0740009H,Lycee des Glieres,Auvergne Rhone Alpes,BTS   Services   Commerce International
Public,0220023F,Lycee Felix Le Dantec,Bretagne,BTS   Services   Commerce International
Public,0740017S,Lycee Charles Poncet,Auvergne Rhone Alpes,BTS   Production   Conception et industrialisation en microtechniques
Public,0220057T,Lycee Ernest Renan,Bretagne,CPGE   Lettres
Prive sous contrat d association,0740082M,Lycee Saint Michel,Auvergne Rhone Alpes,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux"
Public,0130050J,Lycee Denis Diderot,Provence Alpes Cote d Azur,"BTS   Production   Fluide, energie, domotique   option C domotique et bâtiment communicants"
Prive sous contrat d association,0740082M,Lycee Saint Michel,Auvergne Rhone Alpes,BTS   Services   Services informatiques aux organisations
Public,0211356K,Lycee Professionnel Roland Carraz,Bourgogne Franche Comte,BTS   Services   Management operationnel de la securite
Prive sous contrat d association,0740283F,ISETA de Poisy,Auvergne Rhone Alpes,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains"
Public,0470782V,Lycee professionnel Jean Monnet,Nouvelle Aquitaine,Certificat de Specialisation   Technicien(ne) en soudage
Prive sous contrat d association,0740283F,ISETA de Poisy,Auvergne Rhone Alpes,BTS   Agricole   Gestion forestiere
Public,0220058U,Lycee Chaptal,Bretagne,BTS   Production   Conception de produits industriels
Public,0740927F,ENILV,Auvergne Rhone Alpes,"BTS   Agricole   QUalite, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) produits laitiers"
Public,0763460Y,ESITECH   partenaire INSA,Normandie,Formation d ingenieur Bac + 5   Cycle preparatoire integre   option Sante
Public,0741133E,I.U.T. Annecy,Auvergne Rhone Alpes,BUT   Genie mecanique et productique
Public,0450855K,Universite d Orleans,Centre,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives
Public,0741133E,I.U.T. Annecy,Auvergne Rhone Alpes,"BUT   Qualite, logistique industrielle et organisation"
Public,0783778H,CY Ecole de Design,Ile de France,Diplome d Universite   Designer Global   Bac+5
Public,0741133E,I.U.T. Annecy,Auvergne Rhone Alpes,BUT   Reseaux et telecommunications
Public,0220060W,Lycee Eugene Freyssinet,Bretagne,BTS   Production   Travaux publics
Public,0741476C,Lycee Jean Monnet,Auvergne Rhone Alpes,BTS   Production   Electrotechnique
Prive sous contrat d association,0220094H,Lycee Les Cordeliers Notre Dame de la Victoire,Bretagne,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0750647W,Lycee Turgot,Ile de France,CPGE   PCSI
Public,9760358K,Universite de Mayotte,Mayotte,Licence   Sciences et technologies   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Public,0750653C,Lycee Sophie Germain,Ile de France,BTS   Services   Banque
Public,0910755B,"Lycee polyvalent Nadar   Lycee des metiers de la securite, de l industrie et de la relation client",Ile de France,BTS   Services   Management operationnel de la securite
Public,0750654D,Lycee Henri IV,Ile de France,CPGE   PCSI
Prive sous contrat d association,0220116G,Lycee/Pole superieur Saint BRIEUC,Bretagne,BTS   Services   Gestion de la PME
Public,0750654D,Lycee Henri IV,Ile de France,CPGE   B/L   Lettres et sciences sociales
Public,0342210T,Universite Paul Valery   Centre Universitaire Du Guesclin   Beziers,Occitanie,Diplome d Universite   PAREO   DU Passeport pour Reussir et s Orienter (PAREO)
Public,0750655E,Lycee Louis Le Grand,Ile de France,CPGE   PCSI
Prive sous contrat d association,0220117H,Lycee Sacre Coeur,Bretagne,BTS   Production   Conception et Realisation de Systemes Automatiques
Public,0750658H,Lycee Saint Louis (6eme),Ile de France,CPGE   MPSI
Prive enseignement superieur,0623820R,EPSI   Site d ARRAS,Hauts de France,BTS   Services   Services informatiques aux organisations
Public,0750663N,Lycee Chaptal,Ile de France,CPGE   PTSI
Public,0801344B,Universite d Amiens,Hauts de France,Licence   Histoire
Public,0750664P,Lycee RACINE,Ile de France,BTS   Services   Support à l action manageriale
Prive sous contrat d association,0221033D,Lycee agricole ESPA,Bretagne,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains"
Public,0750667T,Lycee Condorcet,Ile de France,CPGE   MPSI
Public,0762762P,Universite Le Havre Normandie,Normandie,Diplome d Universite    Preparation aux etudes scientifiques
Public,0750668U,Lycee Jacques Decour,Ile de France,CPGE   MPSI
Public,0755976N,Universite Paris Cite,Ile de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0750674A,Lycee Jules SIEGFRIED,Ile de France,BTS   Services   Gestion de la PME
Public,0755976N,Universite Paris Cite,Ile de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0750677D,Lycee Elisa Lemonnier,Ile de France,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0755976N,Universite Paris Cite,Ile de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0750685M,Lycee Pierre Gilles de Gennes   ENCPB,Ile de France,BTS   Production   Metiers de la mesure
Public,0755976N,Universite Paris Cite,Ile de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0750685M,Lycee Pierre Gilles de Gennes   ENCPB,Ile de France,BTS   Production   Metiers de la chimie
Public,0755976N,Universite Paris Cite,Ile de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0750685M,Lycee Pierre Gilles de Gennes   ENCPB,Ile de France,DTS Imagerie medicale et radiologie therapeutique
Public,0755976N,Universite Paris Cite,Ile de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0750686N,Lycee Estienne Esaig,Ile de France,BTS   Services   Edition
Prive enseignement superieur,0922007G,EDC Paris Business School,Ile de France,Formation des ecoles de commerce et de management Bac + 3   Bachelor de responsable en gestion et management des entreprises
Public,0750686N,Lycee Estienne Esaig,Ile de France,BTS   Services   Etudes de realisation d un projet de communication   1ere annee commune
Public,0597005U,LYCEE POLYVALENT DU VAL DE LYS,Hauts de France,BTS   Production   Aeronautique
Prive enseignement superieur,0831458J,ISEN Mediterranee,Provence Alpes Cote d Azur,Formation d ingenieur Bac + 5   Bacs generaux   2 Sciences
Public,0650029D,Lycee professionnel Reffye,Occitanie,BTS   Services   Metiers de l esthetique cosmetique parfumerie
Public,0750691U,Lycee Raspail,Ile de France,BTS   Services   Conseil et commercialisation de solutions techniques
Prive sous contrat d association,0451335G,Lycee Sainte Croix Saint Euverte,Centre,BTS   Services   Dietetique et nutrition
Public,0750692V,Lycee Emile Dubois,Ile de France,BTS   Services   Gestion de la PME
Public,0221848P,I.U.T de Saint Brieuc,Bretagne,BUT   Genie biologique parcours sciences de l aliment et biotechnologie
Public,0750692V,Lycee Emile Dubois,Ile de France,BTS   Services   Comptabilite et gestion
Prive sous contrat d association,0410693F,Lycee La Providence,Centre,Certificat de Specialisation   Animation gestion de projets dans le secteur sportif
Public,0750693W,Lycee Buffon,Ile de France,CPGE   MPSI
Public,0230020X,Lycee Pierre Bourdan,Nouvelle Aquitaine,BTS   Services   Gestion de la PME
Public,0750696Z,Lycee Roger Verlomme,Ile de France,BTS   Services   Comptabilite et gestion
Public,0782104N,ISTY UVSQ Paris Saclay,Ile de France,Formation d ingenieur Bac + 5   Bac general
Public,0750697A,Lycee Batiment Saint Lambert,Ile de France,BTS   Production   Bâtiment
Public,0230030H,Lycee agricole d Ahun,Nouvelle Aquitaine,BTS   Agricole   Aquaculture
Public,0750697A,Lycee Batiment Saint Lambert,Ile de France,BTS   Services   Conseil et commercialisation de solutions techniques
Public,0230051F,Lycee Jean Favard,Nouvelle Aquitaine,"BTS   Production   Fluide, energie, domotique   option C domotique et bâtiment communicants"
Public,0750698B,Lycee Claude Bernard,Ile de France,CPGE   PCSI
Public,9740097M,Lycee professionnel agricole de Saint Joseph,Reunion,"BTS   Agricole   Metiers de l elevage: developpement, production et conseil"
Public,0750699C,Lycee Janson De Sailly,Ile de France,CPGE   B/L   Lettres et sciences sociales
Public,0240024W,Lycee Bertran De Born,Nouvelle Aquitaine,CPGE   PCSI
Public,0750707L,Ecole Nationale De Commerce,Ile de France,CPGE   ECT   Option technologique
Public,0240025X,Lycee Laure Gatet,Nouvelle Aquitaine,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0750707L,Ecole Nationale De Commerce,Ile de France,BTS   Services   Support à l action manageriale
Public,0240026Y,Lycee Albert Claveille,Nouvelle Aquitaine,BTS   Production   Motorisations toutes energies
Public,0750707L,Ecole Nationale De Commerce,Ile de France,BTS   Services   Professions immobilieres
Public,0240026Y,Lycee Albert Claveille,Nouvelle Aquitaine,BTS   Production   Maintenance des vehicules option voitures particulieres
Public,0750712S,Lycee Diderot,Ile de France,BTS   Production   Conception de produits industriels
