"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation,Coordonnées GPS de la formation
Public,0600015R,Lycee Mireille Grenet,Hauts de France,BTS   Services   Conseil et commercialisation de solutions techniques,"49.4019, 2.81765"
Public,0600015R,Lycee Mireille Grenet,Hauts de France,BTS   Services   Support à l action manageriale,"49.4019, 2.81765"
Public,0600020W,Lycee Marie Curie,Hauts de France,CPGE   PTSI,"49.2658, 2.4615"
Public,0600020W,Lycee Marie Curie,Hauts de France,BTS   Production   Fonderie,"49.2658, 2.4615"
Public,0600020W,Lycee Marie Curie,Hauts de France,BTS   Production   Controle industriel et regulation automatique,"49.2658, 2.4615"
Public,0600020W,Lycee Marie Curie,Hauts de France,BTS   Production   Conception des processus de realisation de produits (1ere annee commune),"49.2658, 2.4615"
Public,0600020W,Lycee Marie Curie,Hauts de France,BTS   Production   Electrotechnique,"49.2658, 2.4615"
Public,0600021X,Lycee Jules Uhry,Hauts de France,BTS   Services   Support à l action manageriale,"49.2574, 2.47414"
Public,0600021X,Lycee Jules Uhry,Hauts de France,Diplome de Comptabilite et de Gestion,"49.2574, 2.47414"
Prive sous contrat d association,0601700X,Institution Sevigne,Hauts de France,BTS   Services   Gestion de la PME,"49.4161, 2.82968"
Prive sous contrat d association,0601701Y,Lycee General et Technologique Jean Paul II,Hauts de France,BTS   Services   Commerce International,"49.4045, 2.83216"
Public,0601782L,Lycee agricole de l Oise   Airion / Beauvais,Hauts de France,BTS   Agricole   Amenagements paysagers,"49.4298, 2.41611"
Public,0601824G,Lycee Jeanne Hachette,Hauts de France,BTS   Services   Communication,"49.4358, 2.08124"
Prive sous contrat d association,0601831P,Lycee St Joseph Du Moncel,Hauts de France,BTS   Services   Negociation et digitalisation de la Relation Client,"49.3003, 2.60631"
Public,0601910A,Universite d Amiens   Antenne de Beauvais,Hauts de France,Licence   Chimie   Parcours Licence Chimie (Portail Sciences),"49.4312, 2.08925"
Public,0610006A,Lycee Mezeray Gabriel,Normandie,BTS   Services   Support à l action manageriale,"48.7448, -0.01505"
Public,0610021S,Lycee Jean Guehenno,Normandie,DTS Imagerie medicale et radiologie therapeutique,"48.7455, -0.55283"
Public,0611149T,IUT GRAND OUEST NORMANDIE   Pole d Alencon,Normandie,"BUT   Qualite, logistique industrielle et organisation","48.4451, 0.05699"
Public,0611149T,IUT GRAND OUEST NORMANDIE   Pole d Alencon,Normandie,BUT   Management de la Logistique et des Transports,"48.4452, 0.05661"
Public,0610006A,Lycee Mezeray Gabriel,Normandie,BTS   Production   Metiers du geometre topographe et de la modelisation numerique,"48.7448, -0.01505"
Public,0620006V,Lycee Robespierre,Hauts de France,CPGE   BCPST,"50.287, 2.76405"
Public,0620011A,Lycee professionnel Jacques Le Caron,Hauts de France,BTS   Services   Conseil et commercialisation de solutions techniques,"50.2923, 2.74403"
Public,0620040G,Lycee Louis Blaringhem,Hauts de France,BTS   Services   Support à l action manageriale,"50.5305, 2.64276"
Public,0620040G,Lycee Louis Blaringhem,Hauts de France,BTS   Services   Commerce International,"50.5305, 2.64276"
Public,0620042J,Lycee Andre Malraux,Hauts de France,BTS   Production   Conception de produits industriels,"50.5206, 2.65294"
