"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation,Coordonnées GPS de la formation
Public,0620042J,Lycee Andre Malraux,Hauts de France,BTS   Services   Services informatiques aux organisations,"50.5206, 2.65294"
Public,0620052V,Lycee Edouard Branly,Hauts de France,BTS   Production   Conception et Realisation de Systemes Automatiques,"50.7203, 1.61733"
Public,0620052V,Lycee Edouard Branly,Hauts de France,"BTS   Production   Fluide, energie, domotique   option B froid et conditionnement d air","50.7203, 1.61733"
Public,0620056Z,Lycee Carnot,Hauts de France,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","50.48, 2.54426"
Public,0620062F,Lycee Pierre De Coubertin,Hauts de France,BTS   Services   Comptabilite et gestion,"50.9537, 1.83699"
Public,0620063G,Lycee Sophie Berthelot,Hauts de France,BTS   Services   Tourisme,"50.9474, 1.8424"
Public,0620093P,Lycee Fernand Darchicourt,Hauts de France,BTS   Services   Support à l action manageriale,"50.411, 2.9597"
Public,0620109G,Lycee Auguste Behal,Hauts de France,BTS   Production   Maintenance des systemes   option A Systemes de production,"50.4456, 2.82531"
Public,0620140R,Lycee Eugene Woillez,Hauts de France,BTS   Services   Management Commercial Operationnel,"50.4647, 1.76602"
Public,0620215X,Universite du littoral   Site de Calais  ,Hauts de France,Licence   Informatique   Parcours,"50.9527, 1.87896"
Public,0620257T,Lycee professionnel Savary   Ferry,Hauts de France,BTS   Services   Metiers de l esthetique cosmetique parfumerie,"50.2837, 2.74785"
Prive sous contrat d association,0622196A,Lycee Baudimont Saint Charles,Hauts de France,BTS   Services   Services informatiques aux organisations,"50.2945, 2.76632"
Prive sous contrat d association,0622198C,Lycee Saint Joseph,Hauts de France,BTS   Production   Electrotechnique,"50.736, 1.62276"
Prive sous contrat d association,0622198C,Lycee Saint Joseph,Hauts de France,BTS   Services   Management Commercial Operationnel,"50.736, 1.62276"
Prive sous contrat d association,0622198C,Lycee Saint Joseph,Hauts de France,BTS   Services   Comptabilite et gestion,"50.736, 1.62276"
Public,0622238W,I.U.T. de Bethune,Hauts de France,BUT   Genie electrique et informatique industrielle,"50.5185, 2.65779"
Public,0622238W,I.U.T. de Bethune,Hauts de France,BUT   Genie mecanique et productique,"50.5185, 2.65779"
Public,0622276M,Lycee Jan Lavezzari,Hauts de France,BTS   Services   Economie sociale familiale,"50.3987, 1.56049"
Public,0622803K,Lycee Blaise Pascal,Hauts de France,BTS   Production   Controle industriel et regulation automatique,"50.7391, 2.25604"
Public,0622803K,Lycee Blaise Pascal,Hauts de France,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","50.7391, 2.25604"
Public,0623218L,I.U.T LITTORAL (CALAIS),Hauts de France,BUT   Genie electrique et informatique industrielle,"50.9507, 1.88323"
Public,0623218L,I.U.T LITTORAL (CALAIS),Hauts de France,BUT   Gestion des entreprises et des administrations,"50.9507, 1.88323"
Prive sous contrat d association,0623277A,Institut Saint Eloi,Hauts de France,BTS   Agricole   Genie des equipements agricoles,"50.1024, 2.847"
Prive sous contrat d association,0623786D,MFR de Rollancourt,Hauts de France,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains","50.4065, 2.12555"
Public,0623902E,Lycee Marguerite Yourcenar,Hauts de France,Mise à niveau   Hotellerie restauration,"50.5204, 2.66597"
Public,0623911P,Universite d Artois   Site de Lens,Hauts de France,Licence   Portail Sciences de la vie,"50.434, 2.82362"
Public,0623957P,Universite d Artois   Site d Arras,Hauts de France,Licence   Administration economique et sociale,"50.2836, 2.79225"
Public,0623957P,Universite d Artois   Site d Arras,Hauts de France,Licence   Economie et gestion,"50.2836, 2.79225"
Public,0623957P,Universite d Artois   Site d Arras,Hauts de France,Licence   Langues etrangeres appliquees   Parcours  Anglais/Chinois   LEA,"50.2836, 2.79225"
Public,0623957P,Universite d Artois   Site d Arras,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours  Anglais   LLCER","50.2836, 2.79225"
Public,0623985V,I.U.T. de Lens,Hauts de France,BUT   Informatique,"50.4381, 2.80814"
Public,0623985V,I.U.T. de Lens,Hauts de France,BUT   Techniques de commercialisation,"50.4381, 2.80814"
Public,0624109E,Lycee Giraux Sannier,Hauts de France,Diplome de Comptabilite et de Gestion,"50.7225, 1.63617"
Public,0624139M,Universite d Artois   Site de Lievin,Hauts de France,Licence   Sciences et Techniques des Activites Physiques et Sportives   Parcours Entrainement sportif   Education et Motricite   Activite Physique adaptee pour la Sante,"50.4123, 2.76605"
Public,0624237U,Universite du littoral   Site de Saint Omer,Hauts de France,"DEUST   Animation et gestion des activites physiques, sportives ou culturelles   parcours Loisirs sportifs Eco Responsables","50.73464, 2.26068"
Public,0630018C,Lycee Blaise Pascal,Auvergne Rhone Alpes,CPGE   Lettres,"45.7753, 3.09421"
Public,0630021F,Lycee La Fayette,Auvergne Rhone Alpes,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","45.7626, 3.13152"
Public,0630069H,Lycee Jean Zay,Auvergne Rhone Alpes,BTS   Production   Conception de produits industriels,"45.8626, 3.5295"
Public,0630069H,Lycee Jean Zay,Auvergne Rhone Alpes,BTS   Production   Europlastics et composites à referentiel commun europeen   option Pilotage et Optimisation de la production,"45.8626, 3.5295"
Public,0630077S,Lycee Ambroise Brugiere,Auvergne Rhone Alpes,BTS   Services   Management Commercial Operationnel,"45.8011, 3.10765"
Prive sous contrat d association,0631074A,Lycee Fenelon,Auvergne Rhone Alpes,CPGE   Lettres,"45.7713, 3.09038"
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,"Licence   Double diplome   Licence Etudes europeennes et internationales   Etudes europeennes et internationales franco allemandes, double diplome Bachelor of Arts Deutsch Französische Stüdien (Universite de Regensburg)","45.7759, 3.09227"
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,Licence   Sciences du langage,"45.772, 3.09049"
Public,0631669X,Lycee polyvalent Valery GISCARD d ESTAING   Lycee des metiers de l hotellerie de la restauration,Auvergne Rhone Alpes,BTS   Services   Tourisme,"45.7784, 3.04954"
Public,0631985R,Lycee Polyvalent Pierre Joel Bonte,Auvergne Rhone Alpes,BTS   Production   Systemes constructifs bois et habitat,"45.8807, 3.11074"
Public,0640001D,Lycee Cantau,Nouvelle Aquitaine,BTS   Production   Batiment,"43.4744, -1.51172"
Public,0640001D,Lycee Cantau,Nouvelle Aquitaine,BTS   Production   Management economique de la construction,"43.4744, -1.51172"
Public,0640010N,Lycee Rene Cassin Bayonne Biarritz,Nouvelle Aquitaine,BTS   Services   Metiers de l audio visuel opt : techn. d ingenierie et exploit. equipements,"43.48039, -1.55517"
Public,0640055M,Lycee Louis Barthou,Nouvelle Aquitaine,CPGE   MPSI,"43.2962, -0.36446"
Public,0640057P,Lycee Saint Cricq,Nouvelle Aquitaine,BTS   Production   Controle industriel et regulation automatique,"43.29849, -0.35947"
Public,0640057P,Lycee Saint Cricq,Nouvelle Aquitaine,BTS   Production   Electrotechnique,"43.29849, -0.35947"
Prive sous contrat d association,0640131V,Lycee St Dominique,Nouvelle Aquitaine,BTS   Services   Support à l action manageriale,"43.314, -0.37473"
Prive sous contrat d association,0640131V,Lycee St Dominique,Nouvelle Aquitaine,BTS   Services   Gestion de la PME,"43.314, -0.37473"
Prive sous contrat d association,0640176U,Institut du Travail Social Pierre Bourdieu de Pau,Nouvelle Aquitaine,BTS   Services   Economie sociale familiale,"43.3155, -0.37115"
Public,0642127P,Universite de Pau et des pays de l Adour   College SSH (Pau),Nouvelle Aquitaine,Licence   Histoire,"43.31626, -0.36509"
Public,0642128R,Universite de Pau et des pays de l Adour   College STEE (Pau),Nouvelle Aquitaine,"Licence   Portail Physique, chimie","43.31389, -0.36375"
Public,0642127P,Universite de Pau et des pays de l Adour   College SSH (Pau),Nouvelle Aquitaine,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Espagnol","43.31626, -0.36509"
Public,0641478J,I.U.T. de Bayonne,Nouvelle Aquitaine,BUT   Informatique,"43.4777, -1.50869"
Public,0641478J,I.U.T. de Bayonne,Nouvelle Aquitaine,BUT   Gestion des entreprises et des administrations,"43.4897, -1.47044"
Prive sous contrat d association,0641545G,Institut Agricole Secondaire Jean Errecart,Nouvelle Aquitaine,"BTS   Agricole   QUalite, ALimentation, Innovation et Maitrise Sanitaire (BioQUALIM) aliments et processus technologiques","43.3273, -1.02596"
Prive sous contrat d association,0641547J,Lycee professionnel Agricole Saint Christophe,Nouvelle Aquitaine,BTS   Agricole   Aquaculture,"43.3576, -1.54882"
Public,0641732K,Lycee Saint John Perse,Nouvelle Aquitaine,BTS   Services   Management Commercial Operationnel,"43.32, -0.3639"
Public,0641919I,ISA BTP,Nouvelle Aquitaine,Formation d ingenieur Bac + 5   bac  general et STI2D,"43.4761, -1.50792"
Prive enseignement superieur,0490075R,ESEO Angers,Pays de la Loire,Formation d ingenieur Bac + 5   Bacs generaux   2 Sciences,"47.4934, -0.5508"
Public,0650005C,Lycee Victor Duruy,Occitanie,BTS   Production   Conception et Realisation de Systemes Automatiques,"43.0632, 0.15365"
Public,0650026A,Lycee Marie Curie,Occitanie,BTS   Services   Comptabilite et gestion,"43.2231, 0.0721"
Public,0650026A,Lycee Marie Curie,Occitanie,BTS   Services   Tourisme,"43.2231, 0.0721"
Prive sous contrat d association,0650065T,Lycee Pradeau la Sede St Pierre,Occitanie,BTS   Production   Metiers de la chimie,"43.22883, 0.05789"
Prive sous contrat d association,0650065T,Lycee Pradeau la Sede St Pierre,Occitanie,BTS   Services   Collaborateur juriste notarial,"43.22883, 0.05789"
Prive sous contrat d association,0650065T,Lycee Pradeau la Sede St Pierre,Occitanie,BTS   Services   Negociation et digitalisation de la Relation Client,"43.22883, 0.05789"
Public,0660011D,Lycee Jean Lurcat,Occitanie,BTS   Services   Management Commercial Operationnel,"42.6923, 2.9089"
Public,0660011D,Lycee Jean Lurcat,Occitanie,BTS   Services   Negociation et digitalisation de la Relation Client,"42.6923, 2.9089"
Prive sous contrat d association,0660059F,Lycee Notre Dame De Bon Secours,Occitanie,BTS   Services   Support à l action manageriale,"42.6917, 2.88353"
Prive sous contrat d association,0660077A,Lycee Sainte Louise de Marillac,Occitanie,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","42.6888, 2.88261"
Public,0660437S,Universite de Perpignan Via Domitia,Occitanie,Licence   Portail Droit,"42.6846, 2.89905"
Public,0660437S,Universite de Perpignan Via Domitia,Occitanie,Licence   Langues etrangeres appliquees   Parcours Anglais/Espagnol,"42.6846, 2.89905"
Public,0660437S,Universite de Perpignan Via Domitia,Occitanie,Licence   Informatique,"42.6846, 2.89905"
Public,0660586D,I.U.T de Perpignan,Occitanie,BUT   Genie industriel et maintenance,"42.6825, 2.89855"
Public,0660586D,I.U.T de Perpignan,Occitanie,BUT   Gestion des entreprises et des administrations,"42.6825, 2.89855"
Public,0660586D,I.U.T de Perpignan,Occitanie,BUT   Management de la Logistique et des Transports,"42.6825, 2.89855"
Public,0660809W,Lycee Aristide Maillol,Occitanie,BTS   Services   Gestion de la PME,"42.7176, 2.88618"
Public,0670079X,Lycee Fustel De Coulanges,Grand Est,CPGE   Ecole nationale des Chartes,"48.582, 7.75258"
Public,0670085D,Lycee Louis Couffignal,Grand Est,CPGE   PCSI,"48.5619, 7.74905"
Public,0670085D,Lycee Louis Couffignal,Grand Est,CPGE   PTSI,"48.5619, 7.74905"
Public,0670086E,Lycee des metiers Rene Cassin,Grand Est,CPGE   ENS Cachan D2,"48.5826, 7.77046"
Public,0670086E,Lycee des metiers Rene Cassin,Grand Est,BTS   Services   Support à l action manageriale,"48.5826, 7.77046"
Public,0670086E,Lycee des metiers Rene Cassin,Grand Est,BTS   Services   Management Commercial Operationnel,"48.5826, 7.77046"
Public,0670087F,Lycee Alexandre Dumas (Hotelier),Grand Est,BTS   Services   Tourisme,"48.527, 7.7317"
Public,0670087F,Lycee Alexandre Dumas (Hotelier),Grand Est,Mise à niveau   Hotellerie restauration,"48.527, 7.7317"
Public,0671557D,I.U.T. d Illkirch,Grand Est,BUT   Chimie,"48.5302, 7.73701"
Public,0671557D,I.U.T. d Illkirch,Grand Est,BUT   Genie civil   Construction durable   en triple diplome franco suisse allemand,"48.5302, 7.73701"
Public,0671557D,I.U.T. d Illkirch,Grand Est,BUT   Techniques de commercialisation,"48.5302, 7.73701"
Prive sous contrat d association,0671639T,Lycee des Metiers Sainte Clotilde,Grand Est,BTS   Services   Comptabilite et gestion,"48.5875, 7.77243"
Public,0671832C,Lycee Jean Baptiste Schwilgue,Grand Est,BTS   Production   Maintenance des systemes   option A Systemes de production,"48.2523, 7.449"
Public,0062019M,Polytech Nice Sophia,Provence Alpes Cote d Azur,Formation d ingenieur Bac + 5   Bac general,"43.61604, 7.07275"
Prive sous contrat d association,0753947H,Lycee Saint Jean de Passy,Ile de France,CPGE   ECG,"48.8545, 2.27837"
Prive sous contrat d association,0753933T,Lycee Saint Louis De Gonzague,Ile de France,CPGE   ECG,"48.85951, 2.2853"
Public,0860038Z,Lycee Alienor d  Aquitaine,Nouvelle Aquitaine,CPGE   ECG,"46.5892, 0.36646"
Public,0510031G,Lycee CLEMENCEAU,Grand Est,CPGE   ECG,"49.2509, 4.04704"
Public,0782132U,Lycee Jeanne D Albret,Ile de France,CPGE   ECG      Mathematiques appliquees + HGG,"48.89324, 2.09738"
Prive sous contrat d association,0920919Z,Lycee Notre Dame de Ste Croix,Ile de France,CPGE   ECG,"48.882, 2.28066"
Public,0190032G,Lycee Edmond Perrier,Nouvelle Aquitaine,CPGE   PCSI,"45.2673, 1.76883"
Public,0740003B,Lycee Berthollet,Auvergne Rhone Alpes,CPGE   ECG,"45.9063, 6.12758"
Public,0750654D,Lycee Henri IV,Ile de France,CPGE   ECG,"48.8463, 2.34762"
Public,0510031G,Lycee CLEMENCEAU,Grand Est,CPGE   ECG,"49.2509, 4.04704"
Public,0940120V,Lycee Marcelin Berthelot,Ile de France,CPGE   ECG,"48.81014, 2.46977"
Public,0210015C,Lycee Carnot,Bourgogne Franche Comte,CPGE   ECG,"47.3237, 5.04925"
Prive sous contrat d association,0190083M,Lycee Bahuet,Nouvelle Aquitaine,BTS   Services   Assurance,"45.1479, 1.53034"
Prive sous contrat d association,0190083M,Lycee Bahuet,Nouvelle Aquitaine,BTS   Services   Gestion de la PME,"45.1479, 1.53034"
Public,0190087S,Lycee agricole HENRI QUEUILLE,Nouvelle Aquitaine,BTS   Agricole   Developpement et animation de projets territoriaux,"45.3781, 2.27338"
Public,0190087S,Lycee agricole HENRI QUEUILLE,Nouvelle Aquitaine,BTS   Agricole   Gestion et protection de la nature,"45.3781, 2.27338"
Prive sous contrat d association,0592940A,Lycee Saint Jean,Hauts de France,CPGE   ECG,"50.3693, 3.08633"
Public,0740003B,Lycee Berthollet,Auvergne Rhone Alpes,CPGE   ECG,"45.9063, 6.12758"
Public,0260035X,Lycee CAMILLE VERNET,Auvergne Rhone Alpes,CPGE   ECG,"44.922, 4.90358"
Public,0190244M,Campus du Vegetal du pays de Brive,Nouvelle Aquitaine,BTS   Agricole   Amenagements paysagers,"45.2786, 1.41842"
Public,0690028F,Lycee De Saint Just,Auvergne Rhone Alpes,CPGE   ECG,"45.757, 4.8213"
Prive sous contrat d association,0690521S,Lycee Sainte   Marie Lyon,Auvergne Rhone Alpes,CPGE   ECG,"45.76437, 4.82673"
Public,0782562L,Lycee Hoche,Ile de France,CPGE   ECG,"48.8058, 2.13676"
Public,0740003B,Lycee Berthollet,Auvergne Rhone Alpes,CPGE   ECG,"45.9063, 6.12758"
Public,0750654D,Lycee Henri IV,Ile de France,CPGE   ECG,"48.8463, 2.34762"
Public,0690028F,Lycee De Saint Just,Auvergne Rhone Alpes,CPGE   ECG,"45.757, 4.8213"
Public,0190624A,LEGTA Edgard PISANI de Tulle Naves,Nouvelle Aquitaine,"BTS   Agricole   Metiers de l elevage: developpement, production et conseil","45.3225, 1.77075"
Prive sous contrat d association,0690564N,Institution des Chartreux,Auvergne Rhone Alpes,CPGE   ECG,"45.7718, 4.82254"
Public,0870015U,Lycee Gay Lussac,Nouvelle Aquitaine,CPGE   ECG,"45.8308, 1.26263"
Public,0060030A,Lycee Massena,Provence Alpes Cote d Azur,CPGE   ECG,"43.6991, 7.2757"
Public,0750699C,Lycee Janson De Sailly,Ile de France,CPGE   ECG,"48.8655, 2.27947"
Public,0690026D,Lycee du Parc,Auvergne Rhone Alpes,CPGE   ECG,"45.7717, 4.85677"
Prive sous contrat d association,0753933T,Lycee Saint Louis De Gonzague,Ile de France,CPGE   ECG,"48.85951, 2.2853"
Prive sous contrat d association,0440161L,Lycee St Joseph du Loquidy,Pays de la Loire,CPGE   ECG,"47.2369, -1.55764"
Prive sous contrat d association,0671609K,College Episcopal St Etienne,Grand Est,CPGE   ECG,"48.57944, 7.75309"
Public,0342490X,Universite de Montpellier,Occitanie,Licence   Mathematiques   Parcours Licence   Portail Mathematiques et ses applications,"43.6316, 3.86153"
Public,0690026D,Lycee du Parc,Auvergne Rhone Alpes,CPGE   MP2I,"45.7717, 4.85677"
Public,0750679F,Lycee Paul Valery,Ile de France,CPGE   MP2I,"48.8398, 2.40918"
